InvoiceID,Branch,CustomerType,Gender,ProductType,UnitPrice,Quantity,Tax,Total,PaymentType,Rating
750-67-8428,A,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,UPI,9.1
226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,Cash,9.6
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,Credit card,7.4
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,489.048,UPI,8.4
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,UPI,5.3
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,UPI,4.1
355-53-5943,A,Member,Female,Electronic accessories,68.84,6,20.652,433.692,UPI,5.8
315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,UPI,8
665-32-9167,A,Member,Female,Health and beauty,36.26,2,3.626,76.146,Credit card,7.2
692-92-5582,B,Member,Female,Food and beverages,54.84,3,8.226,172.746,Credit card,5.9
351-62-0822,B,Member,Female,Fashion accessories,14.48,4,2.896,60.816,UPI,4.5
529-56-3974,B,Member,Male,Electronic accessories,25.51,4,5.102,107.142,Cash,6.8
365-64-0515,A,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,UPI,7.1
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,UPI,8.2
829-34-3910,A,Normal,Female,Health and beauty,71.38,10,35.69,749.49,Cash,5.7
299-46-1805,B,Member,Female,Sports and travel,93.72,6,28.116,590.436,Cash,4.5
656-95-9349,A,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,Credit card,4.6
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,Credit card,6.9
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,8.6
319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,UPI,4.4
300-71-4605,C,Member,Male,Electronic accessories,86.04,5,21.51,451.71,UPI,4.8
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,UPI,5.1
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,Credit card,4.4
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,UPI,9.9
549-59-1358,A,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,UPI,6
227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,Credit card,8.5
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,Cash,6.7
189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,Credit card,7.7
145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09,463.89,Cash,9.6
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,Cash,7.4
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,4.8
149-71-6266,B,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,Cash,4.5
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,Cash,5.1
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658,202.818,Credit card,5.1
183-56-6882,C,Member,Female,Food and beverages,99.42,4,19.884,417.564,UPI,7.5
232-16-2483,C,Member,Female,Sports and travel,68.12,1,3.406,71.526,UPI,6.8
129-29-8530,A,Member,Male,Sports and travel,62.62,5,15.655,328.755,UPI,7
272-65-1806,A,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,UPI,4.7
333-73-7901,C,Normal,Female,Health and beauty,54.92,8,21.968,461.328,UPI,7.6
777-82-7220,B,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,Cash,7.7
280-35-5823,B,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,UPI,7.9
554-53-8700,C,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,Cash,6.3
354-25-5821,B,Member,Female,Sports and travel,69.12,6,20.736,435.456,Cash,5.6
228-96-1411,C,Member,Female,Food and beverages,98.7,8,39.48,829.08,Cash,7.6
617-15-4209,C,Member,Male,Health and beauty,15.37,2,1.537,32.277,Cash,7.2
