CustomerID,Age,Gender,AnnualIncome,TotalSpend,YearsAsCustomer,NumOfPurchases,AvgTransactionAmount,NumOfReturns,NumOfSupportQueries,SatisfactionScore,LastPurchaseDaysAgo,EmailOptIn,PromotionResponse,Churn
1,62,Other,45.15,5892.58,5,22,453.8,2,0,3,129,True,Responded,True
2,65,Male,79.51,9025.47,13,77,22.9,2,2,3,227,False,Responded,False
3,18,Male,29.19,618.83,13,71,50.53,5,2,2,283,False,Responded,True
4,21,Other,79.63,9110.3,3,33,411.83,5,3,5,226,True,Ignored,True
5,21,Other,77.66,5390.88,15,43,101.19,3,0,5,242,False,Unsubscribed,False
6,57,Male,190.43,255.19,19,85,417.78,5,1,4,130,False,Unsubscribed,False
7,27,Male,172.13,3512.55,3,77,316.18,0,3,1,61,True,Unsubscribed,False
8,37,Other,88.9,7270.9,4,87,63.61,3,4,3,224,False,Ignored,False
9,39,Other,24.46,4935.49,1,21,173.8,9,2,4,126,True,Responded,True
10,68,Other,169.59,9803.57,17,34,481.18,6,1,2,171,True,Unsubscribed,False
11,54,Male,138.9,4283.84,15,33,96.55,9,1,2,92,True,Responded,False
12,41,Female,47.43,3333.69,4,10,212.58,0,0,2,213,False,Responded,True
13,24,Other,199.29,8234.55,1,60,160.58,2,1,5,276,False,Ignored,False
14,42,Female,38.04,5524.28,12,4,259.81,5,4,2,212,False,Ignored,True
15,42,Female,176.08,6855.03,17,64,222.85,6,0,1,125,False,Ignored,True
16,30,Male,72.97,8076.45,9,63,466.61,5,0,3,304,False,Unsubscribed,False
17,19,Male,98.36,6747.13,10,9,414.8,7,3,2,274,True,Responded,True
18,56,Female,163.18,4281.83,3,29,294.39,7,0,3,197,True,Unsubscribed,False
19,57,Male,141.95,1335.48,15,14,173.58,7,3,4,4,False,Responded,False
20,41,Other,188.82,5844.46,11,88,378.05,8,4,5,57,True,Unsubscribed,True
21,64,Other,131.81,8984.59,5,72,298.9,1,1,2,323,True,Responded,True
22,42,Female,37.61,4247.04,10,13,89.61,0,4,1,199,False,Responded,False
23,35,Female,179.18,9116.18,14,3,162.9,8,0,2,193,True,Responded,True
24,55,Other,158.45,5084.93,12,78,288.48,2,1,2,323,False,Unsubscribed,True
25,43,Other,148.14,6246.33,9,24,352.98,7,1,4,119,True,Unsubscribed,True
26,31,Female,29.67,8346.59,6,60,167.05,5,2,1,35,True,Unsubscribed,False
27,26,Other,91.32,5689.51,9,74,456.01,2,4,2,352,True,Unsubscribed,True
28,27,Male,50.14,1000.6,3,80,210.02,8,3,1,317,False,Unsubscribed,False
29,38,Male,167.94,9811.7,13,12,83.09,9,4,5,128,False,Ignored,True
30,69,Female,146.1,2533.91,7,10,114.05,6,4,1,31,False,Unsubscribed,False
31,34,Male,178.95,7134.0,17,63,107.41,7,1,4,274,False,Ignored,True
32,69,Female,193.98,5100.62,18,66,124.56,5,4,1,325,True,Responded,True
33,23,Male,159.45,4839.85,4,91,198.0,1,4,1,193,False,Ignored,True
34,33,Male,198.96,2515.01,5,12,237.82,5,4,5,253,True,Unsubscribed,True
35,65,Female,130.66,7249.29,11,96,275.72,4,2,5,196,False,Responded,True
36,18,Other,26.68,1216.6,18,49,469.63,2,1,3,188,False,Unsubscribed,True
37,36,Female,22.57,9905.49,19,59,289.28,2,3,1,102,False,Responded,True
38,53,Female,81.58,8469.2,5,76,98.03,2,0,2,216,True,Ignored,False
39,42,Other,168.22,5391.64,16,2,233.12,6,1,5,260,True,Unsubscribed,False
40,67,Male,175.9,4303.07,18,73,92.72,1,2,5,360,True,Responded,False
41,69,Female,192.95,2936.0,14,26,456.43,3,3,4,263,True,Unsubscribed,False
42,47,Female,31.72,5065.76,17,31,92.5,9,0,1,202,True,Responded,True
43,37,Female,28.02,8806.23,9,34,309.17,6,1,1,273,False,Responded,False
44,37,Male,184.39,2822.56,14,88,293.2,7,0,1,121,False,Ignored,True
45,32,Male,74.91,5055.32,12,21,315.34,8,2,4,276,False,Unsubscribed,True
46,57,Other,120.44,2422.04,3,50,38.72,3,4,2,84,False,Ignored,True
47,50,Female,196.84,3437.78,18,9,151.77,1,0,2,277,True,Responded,False
48,19,Other,92.08,1983.58,7,65,183.3,8,1,2,234,False,Responded,False
49,27,Other,139.86,9906.34,3,35,462.35,3,2,3,322,True,Responded,True
50,50,Female,92.16,5757.82,12,31,308.21,7,2,4,287,False,Unsubscribed,True
51,49,Female,158.28,7354.87,15,85,405.83,5,2,4,352,True,Responded,False
52,28,Other,114.99,1072.67,9,38,253.05,4,4,3,168,False,Ignored,True
53,41,Male,62.75,3724.56,18,23,204.68,6,4,1,86,True,Ignored,False
54,53,Other,68.84,8937.13,8,62,246.96,4,1,2,110,False,Unsubscribed,True
55,29,Male,66.45,935.94,10,43,395.71,3,2,5,37,False,Responded,False
56,68,Male,115.82,1738.28,12,49,54.59,5,3,2,130,True,Responded,False
57,46,Other,146.57,6291.63,5,87,477.3,7,2,4,4,True,Responded,True
58,52,Female,190.87,6265.61,11,21,305.74,2,1,3,171,True,Ignored,False
59,18,Other,144.94,8398.45,3,44,101.25,8,2,3,21,False,Unsubscribed,False
60,18,Other,160.61,9361.38,8,8,31.44,5,2,4,108,False,Ignored,True
